username,comment,date,like_count
@joyogiso9750,RRQ jaya jaya jaya,7 days ago,1
@niconeko_270,"Kelaz sih ni game

Sutsujin : baby face Asassin",1 month ago,3
@Yusuffuuu,"Rrq vs onic jauh lebih seru daripada rrq vs evos.
Pdhal RRQ&EVOS itu rival (katanya)",1 month ago,1
@Yukimura0890,20:44,1 month ago,3
@bang_ADI94,hanya mereka berdua yang mampu menyajikan permainan yang luar biasa.,1 month ago,0
@Familyflog0299,Kairi nafsu banget.... Terlalu ambisi dia.... Jadi kalah hahaha,1 month ago,53
@Dafa_rblx,Maniac menit brp,1 month ago,0
@tukanghudangbeurang,"Baru x ini liat Onic ngelawak,,dia cuman fokus buat ngebantai bukan fokus untuk menang",1 month ago,4
@royjordihirotl2969,"2 jungler ganteng pengendong handal, menampilkan permainan yg indah. dingin tapi menyala ",1 month ago,0
@m.agusananda2262,Onic goooo,1 month ago,4
@RanggaPratama7,"Chounya di match 1 ini udah bagus tp di counter hehe
Better arlot atau ruby",1 month ago,0
@kokorobet19,"Seru bangett gilaaaa  
Titip M series ke onic/rrq  NO EVOS,no troll m series",1 month ago,0
@qolrashchannel1026,Untuk AC pemasangan nya depan dan belakang bang aj jadi di atas pintu masuk aja untuk AC indoor dan AC out doornya di depan pintu masuk seperti semula,1 month ago,0
@takanomemihawk2102,Gila sutsujin hari² improve terus,1 month ago,1
@UsmanAlinudin,Buts udah ga ada ya?,1 month ago,0
@AnisaFadila-c3l,Pertandingan yg paling ngeri gila cuma war rrq vs onic leg 2 gila bkin mrinding co,1 month ago,0
@DarulAnwar-q3q,Sutsuzin mengkeren ....apalagi pas tdi momen sekarat skil nya luar biasa,1 month ago,0
@twizzy5669,skylar itu emang jago.soalnya 4 individunya gendong2 tadi dia lebih gendong lg.beda dgn cw wkwk ya wajar kalo dia best gold mpl id,1 month ago,0
@zxozi8506,"Tutor biar dpt tim enak dong 13x kalah 13x mvp semua 
Masih stuck epic 1-2",4 weeks ago,0
@EngkusAndi,"Kerennn beud nih last lordnya, dyreennnn kerennnn",1 month ago,0
@AsepUchiha-p2w,"Ini yang di tunggu """,1 month ago,0
@amrinsavana7132,Gilaaa game play sutsujin kelas banget,1 month ago,0
@dhaffaarrizkysantoso5261,Ayo RRQ biar kamu menang lagi RRQ sedikit lagi kamu menang,8 days ago,0
@adeliagyra2253,selalu di buat amaze sm move nya sutsujin,1 month ago,2
@findralevy2400,Sutsujin skylar menggilaaa... Seru banget. RRQ  Terbaik ,1 month ago,1
@demux.i9287,GG Dyren sih pas momentum di lordnya. epic bener,1 month ago,0
